order_id,total_time,waiting_time,service_time,delivery_time,distance
1,11.235936315234593,0.20402470538029216,11.031911609854301,11.031911609854301,0.6370468167939367
3,12.31521343089037,1.0524476056140117,11.26276582527636,11.26276582527636,0.9256145860715103
4,13.201707981955828,1.2442441913348792,11.957463790620949,11.957463790620949,1.7939870427522466
5,13.997625923035244,1.644977700565068,12.352648222470176,12.352648222470176,2.287967582563782
8,18.402031713554155,7.022704532995208,11.379327180558946,11.379327180558946,1.071316280174742
12,22.786786295115817,10.434138072645643,12.352648222470176,12.352648222470176,2.287967582563782
13,23.652116279261858,11.299468056791682,12.352648222470176,12.352648222470176,2.287967582563782
14,23.738245371251892,11.780781580630943,11.957463790620949,11.957463790620949,1.7939870427522466
18,30.878335889387444,18.96816939298155,11.910166496405893,11.910166496405896,1.7348654249834317
19,32.0691420573516,20.689814876792653,11.379327180558946,11.379327180558946,1.071316280174742
26,37.39781886029669,26.135053035020327,11.262765825276361,11.26276582527636,0.9256145860715103
25,38.021525871724634,26.064062081103685,11.957463790620949,11.957463790620949,1.7939870427522466
27,37.99327742740744,26.297646121648995,11.695631305758447,11.695631305758447,1.466696436674119
29,40.481969605285784,29.219203780009423,11.262765825276361,11.26276582527636,0.9256145860715103
30,41.300650941843514,29.60501963608507,11.695631305758447,11.695631305758447,1.466696436674119
33,46.03810796214606,34.127941465740165,11.910166496405893,11.910166496405896,1.7348654249834317
40,47.24295635218142,35.33278985577553,11.910166496405893,11.910166496405896,1.7348654249834317
42,49.162557151614074,37.25239065520818,11.910166496405893,11.910166496405896,1.7348654249834317
44,49.27834097551787,38.01557515024151,11.262765825276361,11.26276582527636,0.9256145860715103
50,55.84224782704872,44.81033621719442,11.031911609854305,11.031911609854301,0.6370468167939367
51,56.18186749187296,44.919101666596596,11.262765825276361,11.26276582527636,0.9256145860715103
55,57.502081901957595,46.47017029210329,11.031911609854305,11.031911609854301,0.6370468167939367
54,58.5418328094205,46.58436901879955,11.957463790620949,11.957463790620949,1.7939870427522466
56,60.57356022070083,49.19423304014188,11.379327180558946,11.379327180558946,1.071316280174742
57,61.09018219774851,49.39455089199007,11.69563130575844,11.695631305758447,1.466696436674119
58,65.73814440853744,53.827977912131544,11.910166496405893,11.910166496405896,1.7348654249834317
67,74.374844477382,62.67921317162356,11.69563130575844,11.695631305758447,1.466696436674119
69,73.82138946643173,62.55862364115536,11.262765825276361,11.26276582527636,0.9256145860715103
72,73.29099448755912,62.25908287770482,11.031911609854305,11.031911609854301,0.6370468167939367
73,76.309099246638,64.45248597048366,11.856613276154334,11.856613276154338,1.6679238996689847
74,77.10054123980005,65.19037474339416,11.910166496405893,11.910166496405896,1.7348654249834317
78,82.10686906316728,70.25025578701295,11.856613276154334,11.856613276154338,1.6679238996689847
79,81.9638605038507,70.58453332329177,11.379327180558946,11.379327180558946,1.071316280174742
80,84.60153942631882,73.5696278164645,11.031911609854305,11.031911609854301,0.6370468167939367
83,84.75296551347495,73.4901996881986,11.262765825276361,11.26276582527636,0.9256145860715103
85,89.86094588236998,78.82903427251568,11.031911609854305,11.031911609854301,0.6370468167939367
87,89.98704470883465,78.95513309898034,11.031911609854305,11.031911609854301,0.6370468167939367
86,90.63913425413394,78.72896775772804,11.910166496405893,11.910166496405896,1.7348654249834317
88,93.07604757366357,81.38041626790513,11.69563130575844,11.695631305758447,1.466696436674119
91,96.50670664615106,85.24394082087471,11.262765825276347,11.26276582527636,0.9256145860715103
93,99.73913513086504,87.78167134024409,11.957463790620949,11.957463790620949,1.7939870427522466
97,102.85163409718096,91.81972248732667,11.03191160985429,11.031911609854301,0.6370468167939367
102,107.23068350234279,95.85135632178383,11.37932718055896,11.379327180558946,1.071316280174742
